01/07/2014,Chevrolet,Black,P678376,Illinois,4800,N,NB OUTER LAKE SHORE,DR,800,W,FOSTER,,Accident,14-00021590
01/07/2014,Chevrolet,Black,P942260,Illinois,301,S,18TH ST,ST,400,E,LOWER WACKER,,Accident,14-00022287
01/07/2014,Chevrolet,Brown,N678750,Illinois,5000,N,NB OUTER LAKE SHORE,DR,853,W,FOSTER,,Accident,14-00021851
01/07/2014,Chevrolet,Maroon,P117326,Illinois,3547,S,PAULINA,ST,,,,,Other,14-00022677
01/07/2014,Chevrolet,Maroon,R377723,Illinois,2922,W,POPE JOHN PAUL II,DR,4211,S,ALBANY,,Water Management,14-00023308
01/07/2014,Chevrolet,Maroon,R377723,Illinois,4212,S,ALBANY,AVE,4211,S,ALBANY,,Water Management,14-00022148
01/07/2014,Chevrolet,Silver,H424160,Illinois,5500,S,WESTERN,AVE,2400,W,56TH ST,,Accident,14-00021900
01/07/2014,Chevrolet,White,MP6503,Illinois,3728,S,RHODES,AVE,436,E,37TH,,Broken Down,14-00024179
01/07/2014,Chrysler,Gold,L229458,Illinois,539,E,48TH,ST,558,E,48TH STREET,,Broken Down,14-00022223
01/07/2014,Dodge,Black,R458170,Illinois,4400,S,SB OUTER LAKE SHORE,DR,6751,S,CORNELL,,Broken Down,14-00021248
01/07/2014,Dodge,Black,S862458,Illinois,6521,S,RICHARDS,DR,6519,S,RICHARDS DRIVE,,Stalled,14-00021170
01/07/2014,Dodge,Red,S209963,Illinois,4200,S,NB OUTER LAKE SHORE,DR,3909,S,LAKE PARK,,Broken Down,14-00021740
01/07/2014,Ford,Blue,K445403,Illinois,1500,N,NB OUTER LAKE SHORE,DR,350,N,WACKER DRIVE LOWER LEVEL,,Accident,14-00022226
01/07/2014,Ford,Gray,N538851,Illinois,999,W,33RD,ST,1100,W,33RD ST,,Stalled,14-00024482
01/07/2014,Ford,Silver,R599916,Illinois,3216,S,WALLACE,ST,3218,S,WALLACE,,Stalled,14-00021724
01/07/2014,Ford,White,490LML,Minnesota,6906,S,OGLESBY,AVE,2334,E,69TH STREET,,Broken Down,14-00022224
01/07/2014,Geo/Prism,White,A310814,Illinois,5000,N,NB OUTER LAKE SHORE,DR,800,W,FOSTER,,Accident,14-00021589
01/07/2014,Honda,Black,K615999,Illinois,3034,S,PARNELL,AVE,3100,S,PARNELL,,Stalled,14-00024492
